CREW_INDICATOR,CREW_ID,BID_PERIOD,BASE,TRANSACTION_CODE,PAIRING_NO,PAIRING_DATE,TO_DATE,PAIRING_POSITION,PRIOR_TXN_CODE,LINE_TYPE,CREW_TYPE,NEW_DATA,MESSAGE_ID,FROM_TIME,TO_TIME,CREDIT,FILL,UPDATED_BY,UPDATE_DATE,UPDATE_TIME,update_dt
FA,10166,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,10166,2024-10,HNL,RRD,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,00:01:00,00:00:00,00:00:00,NA,6319,2024-09-27,13:34:58,2024-09-27 13:34:58
FA,10166,2024-10,HNL,RSK,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,23:59:00,00:00:00,00:00:00,NA,6319,2024-09-27,13:34:58,2024-09-27 13:34:58
FA,10879,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,10879,2024-10,HNL,TTA,H3264,2024-10-31,2024-11-02,FA,NA,B,P,NA,538976288,20:10:00,10:10:00,12:30:00,NA,8407,2024-09-28,14:44:37,2024-09-28 14:44:37
FA,10879,2024-10,HNL,SNO,H3264,2024-10-31,2024-11-02,FA,NA,B,C,NA,0,20:10:00,00:00:00,00:00:00,NA,10879,2024-10-01,21:49:37,2024-10-01 21:49:37
FA,10879,2024-10,HNL,TSD,H3264,2024-10-31,2024-11-02,FA,NA,B,C,NA,538976288,20:10:00,10:10:00,12:30:00,NA,77777,2024-10-04,18:50:11,2024-10-04 18:50:11
FA,10879,2024-10,HNL,ACM,NA,2024-10-31,2024-10-31,FA,NA,B,C,NA,0,00:00:00,00:00:00,00:00:00,NA,10879,2024-10-31,03:46:44,2024-10-31 03:46:44
FA,11859,2024-10,HNL,RLV,RLV,2024-10-31,2024-10-31,FA,NA,R,C,NA,0,00:01:00,00:00:00,00:00:00,NA,8407,2024-09-19,10:02:50,2024-09-19 10:02:50
FA,11859,2024-10,HNL,RLV,NA,2024-10-31,2024-10-31,FA,NA,R,C,NA,538976288,02:00:00,14:00:00,00:00:00,NA,22766,2024-09-28,22:07:24,2024-09-28 22:07:24
